clustername,Storage Capacity %,Connections % Total,CPU Avg %,Table %,dateentered
uni_ccp,51.27,32,18,32.88,3/11/2019
uni_ccp,51.38,32,2.71,32.9,3/12/2019
uni_ccp,52.11,32,3.93,32.95,3/13/2019
uni_ccp,54.45,32,1.41,68.17,3/14/2019
uni_ccp,45.3,32,0.93,34.17,3/15/2019
uni_ccp,51.33,14,1.46,34.17,3/17/2019
uni_ccp,51.45,21,1.4,34.17,3/18/2019
uni_ccp,54.87,32,1.14,37.46,3/20/2019
uni_ccp,54.87,32,1.17,37.46,3/21/2019
uni_ccp,54.87,32,7.59,37.46,3/22/2019
uni_ccp,44.86,32,1.28,35.17,3/24/2019
uni_ccp,45.3,32,22.1,35.15,3/25/2019
uni_ccp,47.7,32,1.15,36.46,3/26/2019
uni_ccp,48.25,32,1.76,36.61,3/27/2019
uni_ccp,46.18,32,1.47,35.67,3/28/2019
uni_ccp,45.54,32,1.57,35.84,3/29/2019
uni_ccp,25.15,32,0.94,25.98,3/30/2019
uni_ccp,44.01,32,2.03,0,3/31/2019
uni_ccp,44.07,32,41.3,26.92,4/10/2019
uni_ccp,44.17,32,41.3,27.08,4/11/2019
uni_ccp,44.17,32,41.3,27.2,4/12/2019
uni_ccp,44.17,32,41.3,27.2,4/14/2019
uni_ccp,45.3,32,41.3,27.2,4/15/2019
uni_ccp,47.7,32,41.3,27.2,4/16/2019
uni_ccp,44.19,14,41.3,27.23,4/17/2019
uni_ccp,44.19,21,41.3,27.23,4/18/2019
uni_ccp,44.19,32,41.3,27.24,4/19/2019
uni_ccp,44.19,32,41.3,27.22,4/20/2019
uni_ccp,44.19,32,41.3,27.22,4/21/2019
uni_ccp,44.02,32,41.3,26.01,4/2/2019
uni_ccp,44.19,32,41.3,27.22,4/22/2019
uni_ccp,44.19,32,41.3,27.22,4/23/2019
uni_ccp,44.23,32,41.3,27.23,4/24/2019
uni_ccp,45.3,32,41.3,27.22,4/25/2019
uni_ccp,47.7,32,41.3,27.4,4/26/2019
uni_ccp,44.45,32,41.3,27.46,4/27/2019
uni_ccp,44.45,32,41.3,27.46,4/28/2019
uni_ccp,44.57,32,41.3,27.47,4/29/2019
uni_ccp,44.94,32,41.3,27.49,4/30/2019
uni_ccp,43.52,32,41.3,26.2,4/3/2019
uni_ccp,45.3,32,41.3,26.54,4/5/2019
uni_ccp,43.71,32,41.3,26.58,4/7/2019
uni_ccp,43.97,32,41.3,26.75,4/8/2019
uni_ccp,44.02,32,41.3,26.87,4/9/2019
uni_ccp,45.3,32,1.66,26.49,5/10/2019
uni_ccp,45.3,32,18,26.55,5/11/2019
uni_ccp,45.3,32,1.25,27.51,5/1/2019
uni_ccp,45.3,32,3.74,26.55,5/12/2019
uni_ccp,45.3,32,4.39,26.59,5/13/2019
uni_ccp,45.3,32,6.77,26.63,5/14/2019
uni_ccp,45.3,32,3.87,26.69,5/15/2019
uni_ccp,45.3,32,4.33,26.72,5/16/2019
uni_ccp,45.3,14,0.94,26.8,5/17/2019
uni_ccp,45.3,21,0.97,26.85,5/18/2019
uni_ccp,45.3,32,1.99,26.85,5/19/2019
uni_ccp,45.3,32,1.45,26.97,5/20/2019
uni_ccp,45.3,32,1.06,27.04,5/21/2019
uni_ccp,45.3,32,1.5,27.51,5/2/2019
uni_ccp,45.3,32,2.33,27.29,5/22/2019
uni_ccp,45.3,32,1.6,27.48,5/23/2019
uni_ccp,45.3,32,0.94,27.61,5/24/2019
uni_ccp,45.3,32,22.1,27.63,5/25/2019
uni_ccp,45.3,32,1.04,27.63,5/26/2019
uni_ccp,45.3,32,3.05,27.63,5/27/2019
uni_ccp,45.3,32,1.82,27.63,5/28/2019
uni_ccp,45.3,32,0.97,27.64,5/29/2019
uni_ccp,45.3,32,0.97,27.64,5/30/2019
uni_ccp,45.3,32,0.98,27.64,5/31/2019
uni_ccp,45.3,32,0.92,27.51,5/3/2019
uni_ccp,45.3,32,1.6,27.52,5/4/2019
uni_ccp,45.3,32,2.31,27.52,5/5/2019
uni_ccp,45.3,32,2.3,27.49,5/6/2019
uni_ccp,45.3,32,3.07,27.51,5/7/2019
uni_ccp,45.3,32,2.63,27.56,5/8/2019
uni_ccp,45.3,32,5.9,26.42,5/9/2019
uni_ccp,47.7,32,25.7,27.94,6/10/2019
uni_ccp,47.7,32,25.7,28.02,6/11/2019
uni_ccp,47.7,32,25.7,27.64,6/1/2019
uni_ccp,47.7,32,25.7,27.64,6/2/2019
uni_ccp,47.7,32,25.7,27.65,6/3/2019
uni_ccp,47.7,32,25.7,27.64,6/4/2019
uni_ccp,45.3,32,25.7,27.71,6/5/2019
uni_ccp,47.7,32,25.7,27.76,6/6/2019
uni_ccp,47.7,32,25.7,27.92,6/7/2019
uni_ccp,47.7,32,25.7,27.93,6/8/2019
uni_ccp,47.7,32,25.7,27.93,6/9/2019
