clustername,Storage Capacity %,Connections % Total,CPU Avg %,Table %,dateentered
corp_pgs,42.3,9.1,25.3,0.01,4/10/2019
corp_pgs,42.3,9.1,25.3,0.01,4/11/2019
corp_pgs,42.3,9.1,25.3,0.01,4/12/2019
corp_pgs,42.3,9.1,25.3,0.01,4/14/2019
corp_pgs,42.3,21.3,25.3,0.01,4/15/2019
corp_pgs,42.3,9.1,25.3,0.01,4/16/2019
corp_pgs,42.3,9.1,25.3,0.01,4/17/2019
corp_pgs,42.3,9.1,25.3,0.01,4/18/2019
corp_pgs,42.3,9.1,25.3,0.01,4/19/2019
corp_pgs,42.3,9.1,25.3,0.01,4/20/2019
corp_pgs,42.3,9.1,25.3,0.01,4/21/2019
corp_pgs,42.3,9.1,25.3,0.01,4/22/2019
corp_pgs,42.3,9.1,25.3,0.01,4/23/2019
corp_pgs,42.3,9.1,25.3,0.01,4/24/2019
corp_pgs,42.3,21.3,25.3,0.01,4/25/2019
corp_pgs,42.3,9.1,25.3,0.01,4/26/2019
corp_pgs,42.3,9.1,25.3,0.02,4/27/2019
corp_pgs,42.3,9.1,25.3,0.02,4/28/2019
corp_pgs,42.3,9.1,25.3,0.02,4/29/2019
corp_pgs,42.3,9.1,25.3,0.02,4/30/2019
corp_pgs,42.3,9.1,25.3,0.01,4/8/2019
corp_pgs,42.3,9.1,25.3,0.01,4/9/2019
corp_pgs,41.8,21.3,8,0.02,5/10/2019
corp_pgs,41.8,21.3,8,0.02,5/11/2019
corp_pgs,41.8,21.3,8,0.02,5/1/2019
corp_pgs,41.8,21.3,8,0.02,5/12/2019
corp_pgs,41.8,21.3,8,0.02,5/13/2019
corp_pgs,42.3,21.3,25.3,0.02,5/14/2019
corp_pgs,41.8,21.3,8,0.02,5/15/2019
corp_pgs,41.8,21.3,8,0.02,5/16/2019
corp_pgs,41.8,21.3,8,0.02,5/17/2019
corp_pgs,41.8,21.3,8,0.02,5/18/2019
corp_pgs,41.8,21.3,8,0.02,5/19/2019
corp_pgs,41.8,21.3,8,0.02,5/20/2019
corp_pgs,41.8,21.3,8,0.02,5/21/2019
corp_pgs,41.8,21.3,8,0.02,5/2/2019
corp_pgs,41.8,21.3,8,0.02,5/22/2019
corp_pgs,41.8,21.3,8,0.02,5/23/2019
corp_pgs,42.3,21.3,25.3,0.02,5/24/2019
corp_pgs,41.8,21.3,8,0.02,5/25/2019
corp_pgs,41.8,21.3,8,0.02,5/26/2019
corp_pgs,41.8,21.3,8,0.02,5/27/2019
corp_pgs,41.8,21.3,8,0.02,5/28/2019
corp_pgs,41.8,21.3,8,0.02,5/29/2019
corp_pgs,41.8,21.3,8,0.02,5/30/2019
corp_pgs,41.8,21.3,8,0.03,5/31/2019
corp_pgs,41.8,21.3,8,0.02,5/3/2019
corp_pgs,42.3,21.3,25.3,0.02,5/4/2019
corp_pgs,41.8,21.3,8,0.02,5/5/2019
corp_pgs,41.8,21.3,8,0.02,5/6/2019
corp_pgs,41.8,21.3,8,0.02,5/7/2019
corp_pgs,41.8,21.3,8,0.02,5/8/2019
corp_pgs,41.8,21.3,8,0.02,5/9/2019
corp_pgs,51.7,1.4,8,0.02,6/10/2019
corp_pgs,51.7,1.4,8,0.02,6/11/2019
corp_pgs,51.7,0.8,8,0.03,6/1/2019
corp_pgs,51.7,1,8,0.02,6/12/2019
corp_pgs,51.7,0.6,8,0.02,6/13/2019
corp_pgs,42.3,9.1,25.3,0.02,6/14/2019
corp_pgs,41.8,21.3,8,0.02,6/15/2019
corp_pgs,51.7,2,8,0.02,6/16/2019
corp_pgs,51.7,0,8,0.02,6/17/2019
corp_pgs,51.7,0.8,8,0.03,6/2/2019
corp_pgs,51.7,1,8,0.03,6/3/2019
corp_pgs,42.3,9.1,25.3,0.03,6/4/2019
corp_pgs,41.8,21.3,8,0.03,6/5/2019
corp_pgs,51.7,1.8,8,0.03,6/6/2019
corp_pgs,51.7,1.6,8,0.02,6/7/2019
corp_pgs,51.7,1.2,8,0.02,6/8/2019
corp_pgs,51.7,1.2,8,0.02,6/9/2019
